TAL;BOPKOM;KØN;TID;INDHOLD
Full-time employees;Copenhagen;Total;2014Q3;231539
Full-time employees;Copenhagen;Total;2014Q4;235820
Full-time employees;Copenhagen;Total;2015Q1;233705
Full-time employees;Copenhagen;Total;2015Q2;239014
Full-time employees;Copenhagen;Total;2015Q3;238554
Full-time employees;Copenhagen;Total;2015Q4;243515
Full-time employees;Copenhagen;Total;2016Q1;241147
Full-time employees;Copenhagen;Total;2016Q2;247715
Full-time employees;Copenhagen;Total;2016Q3;246973
Full-time employees;Copenhagen;Total;2016Q4;251209
Full-time employees;Copenhagen;Total;2017Q1;249072
Full-time employees;Copenhagen;Total;2017Q2;254280
Full-time employees;Copenhagen;Total;2017Q3;253839
Full-time employees;Copenhagen;Total;2017Q4;259396
Full-time employees;Copenhagen;Total;2018Q1;257001
Full-time employees;Copenhagen;Total;2018Q2;263766
Full-time employees;Copenhagen;Total;2018Q3;263218
Full-time employees;Copenhagen;Total;2018Q4;268196
Full-time employees;Copenhagen;Total;2019Q1;265459
Full-time employees;Copenhagen;Total;2019Q2;270847
Full-time employees;Copenhagen;Total;2019Q3;270806
Full-time employees;Copenhagen;Total;2019Q4;275004
Full-time employees;Copenhagen;Total;2020Q1;271075
Full-time employees;Copenhagen;Total;2020Q2;268154
Full-time employees;Copenhagen;Total;2020Q3;269278
Full-time employees;Copenhagen;Total;2020Q4;275045
Full-time employees;Copenhagen;Total;2021Q1;272437
Full-time employees;Copenhagen;Total;2021Q2;282327
Full-time employees;Copenhagen;Total;2021Q3;284967
Full-time employees;Copenhagen;Total;2021Q4;292798
Full-time employees;Copenhagen;Total;2022Q1;292267
Full-time employees;Copenhagen;Total;2022Q2;298569
Full-time employees;Copenhagen;Total;2022Q3;297368
Full-time employees;Copenhagen;Total;2022Q4;303045
Full-time employees;Copenhagen;Total;2023Q1;300648
Full-time employees;Copenhagen;Total;2023Q2;306309
Full-time employees;Copenhagen;Total;2023Q3;305181
Full-time employees;Copenhagen;Total;2023Q4;307908
Full-time employees;Copenhagen;Total;2024Q1;305114
Full-time employees;Copenhagen;Total;2024Q2;311988
Full-time employees;Copenhagen;Total;2024Q3;309254
Full-time employees;Copenhagen;Total;2024Q4;312915
Full-time employees;Copenhagen;Total;2025Q1;309128
Full-time employees;Copenhagen;Total;2025Q2;314979
Full-time employees;Copenhagen;Total;2025Q3;313577
Full-time employees;Frederiksberg;Total;2008Q1;39762
Full-time employees;Frederiksberg;Total;2008Q2;40256
