OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Region Hovedstaden;Total;73 years;Total;2015Q1;12995
Region Hovedstaden;Total;73 years;Total;2019Q1;18064
Region Hovedstaden;Total;73 years;Total;2022Q1;16686
Region Hovedstaden;Total;74 years;Total;2008Q1;9949
Region Hovedstaden;Total;74 years;Total;2011Q1;10737
Region Hovedstaden;Total;74 years;Total;2015Q1;12699
Region Hovedstaden;Total;74 years;Total;2019Q1;16955
Region Hovedstaden;Total;74 years;Total;2022Q1;17543
Region Hovedstaden;Total;75 years;Total;2008Q1;9535
Region Hovedstaden;Total;75 years;Total;2011Q1;10173
Region Hovedstaden;Total;75 years;Total;2015Q1;11771
Region Hovedstaden;Total;75 years;Total;2019Q1;15293
Region Hovedstaden;Total;75 years;Total;2022Q1;17851
Region Hovedstaden;Total;76 years;Total;2008Q1;9172
Region Hovedstaden;Total;76 years;Total;2011Q1;9565
Region Hovedstaden;Total;76 years;Total;2015Q1;11180
Region Hovedstaden;Total;76 years;Total;2019Q1;13962
Region Hovedstaden;Total;76 years;Total;2022Q1;16648
Region Hovedstaden;Total;77 years;Total;2008Q1;8928
Region Hovedstaden;Total;77 years;Total;2011Q1;8844
Region Hovedstaden;Total;77 years;Total;2015Q1;10208
Region Hovedstaden;Total;77 years;Total;2019Q1;11498
Region Hovedstaden;Total;77 years;Total;2022Q1;15506
Region Hovedstaden;Total;78 years;Total;2008Q1;8394
Region Hovedstaden;Total;78 years;Total;2011Q1;8401
Region Hovedstaden;Total;78 years;Total;2015Q1;9250
Region Hovedstaden;Total;78 years;Total;2019Q1;11167
Region Hovedstaden;Total;78 years;Total;2022Q1;13804
Region Hovedstaden;Total;79 years;Total;2008Q1;8195
Region Hovedstaden;Total;79 years;Total;2011Q1;7878
Region Hovedstaden;Total;79 years;Total;2015Q1;8596
Region Hovedstaden;Total;79 years;Total;2019Q1;10237
Region Hovedstaden;Total;79 years;Total;2022Q1;12576
Region Hovedstaden;Total;80 years;Total;2008Q1;7600
Region Hovedstaden;Total;80 years;Total;2011Q1;7520
Region Hovedstaden;Total;80 years;Total;2015Q1;7986
Region Hovedstaden;Total;80 years;Total;2019Q1;9537
