OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Stevns;Total;Age, total;Total;2022Q1;23473
Vordingborg;Total;Age, total;Total;2008Q1;46600
Vordingborg;Total;Age, total;Total;2011Q1;46170
Vordingborg;Total;Age, total;Total;2015Q1;45471
Vordingborg;Total;Age, total;Total;2019Q1;45816
Vordingborg;Total;Age, total;Total;2022Q1;45352
Region Syddanmark;Total;Age, total;Total;2008Q1;1194659
Region Syddanmark;Total;Age, total;Total;2011Q1;1200656
Region Syddanmark;Total;Age, total;Total;2015Q1;1205728
Region Syddanmark;Total;Age, total;Total;2019Q1;1223348
Region Syddanmark;Total;Age, total;Total;2022Q1;1228362
Assens;Total;Age, total;Total;2008Q1;42054
Assens;Total;Age, total;Total;2011Q1;41635
Assens;Total;Age, total;Total;2015Q1;41046
Assens;Total;Age, total;Total;2019Q1;41212
Assens;Total;Age, total;Total;2022Q1;40972
Faaborg-Midtfyn;Total;Age, total;Total;2008Q1;51950
Faaborg-Midtfyn;Total;Age, total;Total;2011Q1;51926
Faaborg-Midtfyn;Total;Age, total;Total;2015Q1;50953
Faaborg-Midtfyn;Total;Age, total;Total;2019Q1;51809
Faaborg-Midtfyn;Total;Age, total;Total;2022Q1;51849
Kerteminde;Total;Age, total;Total;2008Q1;23630
Kerteminde;Total;Age, total;Total;2011Q1;23758
Kerteminde;Total;Age, total;Total;2015Q1;23728
Kerteminde;Total;Age, total;Total;2019Q1;23773
Kerteminde;Total;Age, total;Total;2022Q1;24034
Langeland;Total;Age, total;Total;2008Q1;13741
Langeland;Total;Age, total;Total;2011Q1;13322
Langeland;Total;Age, total;Total;2015Q1;12647
Langeland;Total;Age, total;Total;2019Q1;12560
Langeland;Total;Age, total;Total;2022Q1;12316
Middelfart;Total;Age, total;Total;2008Q1;37274
Middelfart;Total;Age, total;Total;2011Q1;37701
Middelfart;Total;Age, total;Total;2015Q1;37857
Middelfart;Total;Age, total;Total;2019Q1;38553
Middelfart;Total;Age, total;Total;2022Q1;39603
Nordfyns;Total;Age, total;Total;2008Q1;29470
Nordfyns;Total;Age, total;Total;2011Q1;29507
Nordfyns;Total;Age, total;Total;2015Q1;29030
Nordfyns;Total;Age, total;Total;2019Q1;29693
Nordfyns;Total;Age, total;Total;2022Q1;29714
Nyborg;Total;Age, total;Total;2008Q1;31607
Nyborg;Total;Age, total;Total;2011Q1;31499
Nyborg;Total;Age, total;Total;2015Q1;31573
Nyborg;Total;Age, total;Total;2019Q1;32042
Nyborg;Total;Age, total;Total;2022Q1;32098
Odense;Total;Age, total;Total;2008Q1;186932
Odense;Total;Age, total;Total;2011Q1;190245
Odense;Total;Age, total;Total;2015Q1;197480
Odense;Total;Age, total;Total;2019Q1;204182
Odense;Total;Age, total;Total;2022Q1;205978
Svendborg;Total;Age, total;Total;2008Q1;59040
Svendborg;Total;Age, total;Total;2011Q1;58713
Svendborg;Total;Age, total;Total;2015Q1;57988
Svendborg;Total;Age, total;Total;2019Q1;58599
Svendborg;Total;Age, total;Total;2022Q1;59193
Ærø;Total;Age, total;Total;2008Q1;6712
Ærø;Total;Age, total;Total;2011Q1;6663
Ærø;Total;Age, total;Total;2015Q1;6276
Ærø;Total;Age, total;Total;2019Q1;6058
Ærø;Total;Age, total;Total;2022Q1;6025
Billund;Total;Age, total;Total;2008Q1;26181
Billund;Total;Age, total;Total;2011Q1;26155
Billund;Total;Age, total;Total;2015Q1;26285
Billund;Total;Age, total;Total;2019Q1;26629
Billund;Total;Age, total;Total;2022Q1;26631
Esbjerg;Total;Age, total;Total;2008Q1;114244
Esbjerg;Total;Age, total;Total;2011Q1;115184
Esbjerg;Total;Age, total;Total;2015Q1;115446
Esbjerg;Total;Age, total;Total;2019Q1;115652
Esbjerg;Total;Age, total;Total;2022Q1;115459
Fanø;Total;Age, total;Total;2008Q1;3192
Fanø;Total;Age, total;Total;2011Q1;3213
Fanø;Total;Age, total;Total;2015Q1;3263
Fanø;Total;Age, total;Total;2019Q1;3404
Fanø;Total;Age, total;Total;2022Q1;3427
Fredericia;Total;Age, total;Total;2008Q1;49463
Fredericia;Total;Age, total;Total;2011Q1;50104
Fredericia;Total;Age, total;Total;2015Q1;50429
Fredericia;Total;Age, total;Total;2019Q1;51427
Fredericia;Total;Age, total;Total;2022Q1;51606
Haderslev;Total;Age, total;Total;2008Q1;56414
Haderslev;Total;Age, total;Total;2011Q1;56117
Haderslev;Total;Age, total;Total;2015Q1;55888
Haderslev;Total;Age, total;Total;2019Q1;55857
Haderslev;Total;Age, total;Total;2022Q1;55340
Kolding;Total;Age, total;Total;2008Q1;87781
Kolding;Total;Age, total;Total;2011Q1;89210
Kolding;Total;Age, total;Total;2015Q1;90794
Kolding;Total;Age, total;Total;2019Q1;92893
Kolding;Total;Age, total;Total;2022Q1;93544
Sønderborg;Total;Age, total;Total;2008Q1;76913
Sønderborg;Total;Age, total;Total;2011Q1;76193
Sønderborg;Total;Age, total;Total;2015Q1;74937
Sønderborg;Total;Age, total;Total;2019Q1;74561
Sønderborg;Total;Age, total;Total;2022Q1;73711
Tønder;Total;Age, total;Total;2008Q1;40367
Tønder;Total;Age, total;Total;2011Q1;39464
Tønder;Total;Age, total;Total;2015Q1;38010
Tønder;Total;Age, total;Total;2019Q1;37587
Tønder;Total;Age, total;Total;2022Q1;36849
Varde;Total;Age, total;Total;2008Q1;50125
Varde;Total;Age, total;Total;2011Q1;50351
Varde;Total;Age, total;Total;2015Q1;50122
