BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
Slagelse;Total;H70 Masters programs;Age, total;Total;2008;1427
Slagelse;Total;H70 Masters programs;Age, total;Total;2011;1549
Slagelse;Total;H70 Masters programs;Age, total;Total;2015;1779
Slagelse;Total;H70 Masters programs;Age, total;Total;2019;2170
Slagelse;Total;H70 Masters programs;Age, total;Total;2022;2505
Sorø;Total;H70 Masters programs;Age, total;Total;2008;999
Sorø;Total;H70 Masters programs;Age, total;Total;2011;1052
Sorø;Total;H70 Masters programs;Age, total;Total;2015;1216
Sorø;Total;H70 Masters programs;Age, total;Total;2019;1454
Sorø;Total;H70 Masters programs;Age, total;Total;2022;1730
Stevns;Total;H70 Masters programs;Age, total;Total;2008;505
Stevns;Total;H70 Masters programs;Age, total;Total;2011;548
Stevns;Total;H70 Masters programs;Age, total;Total;2015;631
Stevns;Total;H70 Masters programs;Age, total;Total;2019;766
Stevns;Total;H70 Masters programs;Age, total;Total;2022;890
Vordingborg;Total;H70 Masters programs;Age, total;Total;2008;1064
Vordingborg;Total;H70 Masters programs;Age, total;Total;2011;1120
Vordingborg;Total;H70 Masters programs;Age, total;Total;2015;1222
Vordingborg;Total;H70 Masters programs;Age, total;Total;2019;1363
Vordingborg;Total;H70 Masters programs;Age, total;Total;2022;1590
Region Syddanmark;Total;H70 Masters programs;Age, total;Total;2008;30755
Region Syddanmark;Total;H70 Masters programs;Age, total;Total;2011;34550
Region Syddanmark;Total;H70 Masters programs;Age, total;Total;2015;41522
Region Syddanmark;Total;H70 Masters programs;Age, total;Total;2019;52319
Region Syddanmark;Total;H70 Masters programs;Age, total;Total;2022;60115
Assens;Total;H70 Masters programs;Age, total;Total;2008;912
Assens;Total;H70 Masters programs;Age, total;Total;2011;985
Assens;Total;H70 Masters programs;Age, total;Total;2015;1106
Assens;Total;H70 Masters programs;Age, total;Total;2019;1240
Assens;Total;H70 Masters programs;Age, total;Total;2022;1436
Faaborg-Midtfyn;Total;H70 Masters programs;Age, total;Total;2008;1104
Faaborg-Midtfyn;Total;H70 Masters programs;Age, total;Total;2011;1202
Faaborg-Midtfyn;Total;H70 Masters programs;Age, total;Total;2015;1277
Faaborg-Midtfyn;Total;H70 Masters programs;Age, total;Total;2019;1559
Faaborg-Midtfyn;Total;H70 Masters programs;Age, total;Total;2022;1856
Kerteminde;Total;H70 Masters programs;Age, total;Total;2008;494
Kerteminde;Total;H70 Masters programs;Age, total;Total;2011;546
Kerteminde;Total;H70 Masters programs;Age, total;Total;2015;608
Kerteminde;Total;H70 Masters programs;Age, total;Total;2019;752
Kerteminde;Total;H70 Masters programs;Age, total;Total;2022;850
Langeland;Total;H70 Masters programs;Age, total;Total;2008;166
Langeland;Total;H70 Masters programs;Age, total;Total;2011;169
Langeland;Total;H70 Masters programs;Age, total;Total;2015;205
Langeland;Total;H70 Masters programs;Age, total;Total;2019;261
Langeland;Total;H70 Masters programs;Age, total;Total;2022;299
Middelfart;Total;H70 Masters programs;Age, total;Total;2008;1005
Middelfart;Total;H70 Masters programs;Age, total;Total;2011;1183
Middelfart;Total;H70 Masters programs;Age, total;Total;2015;1411
Middelfart;Total;H70 Masters programs;Age, total;Total;2019;1766
Middelfart;Total;H70 Masters programs;Age, total;Total;2022;2144
Nordfyns;Total;H70 Masters programs;Age, total;Total;2008;519
Nordfyns;Total;H70 Masters programs;Age, total;Total;2011;553
Nordfyns;Total;H70 Masters programs;Age, total;Total;2015;638
Nordfyns;Total;H70 Masters programs;Age, total;Total;2019;827
Nordfyns;Total;H70 Masters programs;Age, total;Total;2022;919
Nyborg;Total;H70 Masters programs;Age, total;Total;2008;666
Nyborg;Total;H70 Masters programs;Age, total;Total;2011;761
Nyborg;Total;H70 Masters programs;Age, total;Total;2015;886
Nyborg;Total;H70 Masters programs;Age, total;Total;2019;1090
Nyborg;Total;H70 Masters programs;Age, total;Total;2022;1283
Odense;Total;H70 Masters programs;Age, total;Total;2008;7821
Odense;Total;H70 Masters programs;Age, total;Total;2011;8943
Odense;Total;H70 Masters programs;Age, total;Total;2015;11047
Odense;Total;H70 Masters programs;Age, total;Total;2019;15074
Odense;Total;H70 Masters programs;Age, total;Total;2022;17226
Svendborg;Total;H70 Masters programs;Age, total;Total;2008;1450
Svendborg;Total;H70 Masters programs;Age, total;Total;2011;1519
Svendborg;Total;H70 Masters programs;Age, total;Total;2015;1737
Svendborg;Total;H70 Masters programs;Age, total;Total;2019;2214
Svendborg;Total;H70 Masters programs;Age, total;Total;2022;2820
Ærø;Total;H70 Masters programs;Age, total;Total;2008;118
Ærø;Total;H70 Masters programs;Age, total;Total;2011;140
Ærø;Total;H70 Masters programs;Age, total;Total;2015;167
Ærø;Total;H70 Masters programs;Age, total;Total;2019;190
Ærø;Total;H70 Masters programs;Age, total;Total;2022;234
Billund;Total;H70 Masters programs;Age, total;Total;2008;378
Billund;Total;H70 Masters programs;Age, total;Total;2011;430
Billund;Total;H70 Masters programs;Age, total;Total;2015;595
Billund;Total;H70 Masters programs;Age, total;Total;2019;780
Billund;Total;H70 Masters programs;Age, total;Total;2022;919
Esbjerg;Total;H70 Masters programs;Age, total;Total;2008;2433
Esbjerg;Total;H70 Masters programs;Age, total;Total;2011;2779
Esbjerg;Total;H70 Masters programs;Age, total;Total;2015;3444
Esbjerg;Total;H70 Masters programs;Age, total;Total;2019;4080
Esbjerg;Total;H70 Masters programs;Age, total;Total;2022;4543
Fanø;Total;H70 Masters programs;Age, total;Total;2008;112
Fanø;Total;H70 Masters programs;Age, total;Total;2011;127
Fanø;Total;H70 Masters programs;Age, total;Total;2015;154
Fanø;Total;H70 Masters programs;Age, total;Total;2019;181
Fanø;Total;H70 Masters programs;Age, total;Total;2022;186
Fredericia;Total;H70 Masters programs;Age, total;Total;2008;1089
Fredericia;Total;H70 Masters programs;Age, total;Total;2011;1240
Fredericia;Total;H70 Masters programs;Age, total;Total;2015;1507
Fredericia;Total;H70 Masters programs;Age, total;Total;2019;1856
Fredericia;Total;H70 Masters programs;Age, total;Total;2022;2129
Haderslev;Total;H70 Masters programs;Age, total;Total;2008;1162
Haderslev;Total;H70 Masters programs;Age, total;Total;2011;1239
Haderslev;Total;H70 Masters programs;Age, total;Total;2015;1436
Haderslev;Total;H70 Masters programs;Age, total;Total;2019;1570
Haderslev;Total;H70 Masters programs;Age, total;Total;2022;1655
Kolding;Total;H70 Masters programs;Age, total;Total;2008;2716
Kolding;Total;H70 Masters programs;Age, total;Total;2011;3099
Kolding;Total;H70 Masters programs;Age, total;Total;2015;3812
Kolding;Total;H70 Masters programs;Age, total;Total;2019;4753
Kolding;Total;H70 Masters programs;Age, total;Total;2022;5418
Sønderborg;Total;H70 Masters programs;Age, total;Total;2008;2057
Sønderborg;Total;H70 Masters programs;Age, total;Total;2011;2255
Sønderborg;Total;H70 Masters programs;Age, total;Total;2015;2505
Sønderborg;Total;H70 Masters programs;Age, total;Total;2019;2989
Sønderborg;Total;H70 Masters programs;Age, total;Total;2022;3301
Tønder;Total;H70 Masters programs;Age, total;Total;2008;590
Tønder;Total;H70 Masters programs;Age, total;Total;2011;651
Tønder;Total;H70 Masters programs;Age, total;Total;2015;712
Tønder;Total;H70 Masters programs;Age, total;Total;2019;863
Tønder;Total;H70 Masters programs;Age, total;Total;2022;868
Varde;Total;H70 Masters programs;Age, total;Total;2008;811
Varde;Total;H70 Masters programs;Age, total;Total;2011;899
Varde;Total;H70 Masters programs;Age, total;Total;2015;1048
Varde;Total;H70 Masters programs;Age, total;Total;2019;1170
Varde;Total;H70 Masters programs;Age, total;Total;2022;1318
Vejen;Total;H70 Masters programs;Age, total;Total;2008;659
Vejen;Total;H70 Masters programs;Age, total;Total;2011;747
Vejen;Total;H70 Masters programs;Age, total;Total;2015;931
Vejen;Total;H70 Masters programs;Age, total;Total;2019;1119
Vejen;Total;H70 Masters programs;Age, total;Total;2022;1215
Vejle;Total;H70 Masters programs;Age, total;Total;2008;3271
Vejle;Total;H70 Masters programs;Age, total;Total;2011;3784
Vejle;Total;H70 Masters programs;Age, total;Total;2015;4803
Vejle;Total;H70 Masters programs;Age, total;Total;2019;6249
Vejle;Total;H70 Masters programs;Age, total;Total;2022;7573
Aabenraa;Total;H70 Masters programs;Age, total;Total;2008;1222
Aabenraa;Total;H70 Masters programs;Age, total;Total;2011;1299
Aabenraa;Total;H70 Masters programs;Age, total;Total;2015;1493
Aabenraa;Total;H70 Masters programs;Age, total;Total;2019;1736
Aabenraa;Total;H70 Masters programs;Age, total;Total;2022;1923
Region Midtjylland;Total;H70 Masters programs;Age, total;Total;2008;46076
Region Midtjylland;Total;H70 Masters programs;Age, total;Total;2011;52927
Region Midtjylland;Total;H70 Masters programs;Age, total;Total;2015;63597
Region Midtjylland;Total;H70 Masters programs;Age, total;Total;2019;79236
Region Midtjylland;Total;H70 Masters programs;Age, total;Total;2022;89789
Favrskov;Total;H70 Masters programs;Age, total;Total;2008;1694
Favrskov;Total;H70 Masters programs;Age, total;Total;2011;1961
Favrskov;Total;H70 Masters programs;Age, total;Total;2015;2306
Favrskov;Total;H70 Masters programs;Age, total;Total;2019;2821
Favrskov;Total;H70 Masters programs;Age, total;Total;2022;3289
Hedensted;Total;H70 Masters programs;Age, total;Total;2008;684
Hedensted;Total;H70 Masters programs;Age, total;Total;2011;762
Hedensted;Total;H70 Masters programs;Age, total;Total;2015;931
Hedensted;Total;H70 Masters programs;Age, total;Total;2019;1117
Hedensted;Total;H70 Masters programs;Age, total;Total;2022;1339
Horsens;Total;H70 Masters programs;Age, total;Total;2008;1986
Horsens;Total;H70 Masters programs;Age, total;Total;2011;2283
Horsens;Total;H70 Masters programs;Age, total;Total;2015;2862
Horsens;Total;H70 Masters programs;Age, total;Total;2019;3735
Horsens;Total;H70 Masters programs;Age, total;Total;2022;4583
Norddjurs;Total;H70 Masters programs;Age, total;Total;2008;544
Norddjurs;Total;H70 Masters programs;Age, total;Total;2011;588
Norddjurs;Total;H70 Masters programs;Age, total;Total;2015;631
Norddjurs;Total;H70 Masters programs;Age, total;Total;2019;711
