OMRÅDE;ENHED;KOEN;INDKOMSTTYPE;TID;INDHOLD
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2020;301686
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2021;319321
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2022;312449
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2023;329362
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2024;344810
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1987;97966
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1988;99867
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1989;106167
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1990;109441
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1991;115203
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1992;117473
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1993;122416
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1994;130163
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1995;137056
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1996;145144
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1997;150963
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1998;158566
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1999;164352
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2000;169155
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2001;176031
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2002;183618
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2003;192308
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2004;201595
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2005;209173
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2006;216054
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2007;221681
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2008;220100
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2009;217104
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2010;242929
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2011;261933
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2012;264648
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2013;270354
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2014;279821
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2015;289465
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2016;295922
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2017;303980
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2018;311793
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2019;322159
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2020;332103
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2021;350841
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2022;351523
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2023;368217
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2024;375847
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1987;87598
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1988;90789
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1989;95053
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1990;98313
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1991;101982
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1992;104841
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1993;107567
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1994;115017
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1995;119115
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1996;123870
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1997;127729
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1998;133199
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1999;137477
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2000;141912
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2001;147692
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2002;154169
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2003;160771
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2004;169423
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2005;175425
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2006;181010
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2007;183218
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2008;186265
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2009;189340
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2010;203459
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2011;209500
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2012;212671
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2013;217423
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2014;222582
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2015;227877
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2016;232591
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2017;239104
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2018;245993
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2019;252323
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2020;265421
