BOPAEGT1;BOPAEGT2;ALDERAEGT1;ALDERAEGT2;AGTVAR;TID;INDHOLD
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Glostrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Herlev;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Hvidovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Høje-Taastrup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Ishøj;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Lyngby-Taarbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Rødovre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Vallensbæk;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
