OMRÅDE;OVERTRÆD;TID;INDHOLD
Frederiksberg;Nature of the offence, total;2015Q3;2163
Frederiksberg;Nature of the offence, total;2015Q4;2357
Frederiksberg;Nature of the offence, total;2016Q1;2016
Frederiksberg;Nature of the offence, total;2016Q2;2252
Frederiksberg;Nature of the offence, total;2016Q3;2018
Frederiksberg;Nature of the offence, total;2016Q4;2109
Frederiksberg;Nature of the offence, total;2017Q1;1999
Frederiksberg;Nature of the offence, total;2017Q2;2142
Frederiksberg;Nature of the offence, total;2017Q3;2227
Frederiksberg;Nature of the offence, total;2017Q4;2208
Frederiksberg;Nature of the offence, total;2018Q1;1864
Frederiksberg;Nature of the offence, total;2018Q2;1821
Frederiksberg;Nature of the offence, total;2018Q3;1745
Frederiksberg;Nature of the offence, total;2018Q4;1800
Frederiksberg;Nature of the offence, total;2019Q1;1597
Frederiksberg;Nature of the offence, total;2019Q2;1713
Frederiksberg;Nature of the offence, total;2019Q3;1779
Frederiksberg;Nature of the offence, total;2019Q4;2128
Frederiksberg;Nature of the offence, total;2020Q1;1874
Frederiksberg;Nature of the offence, total;2020Q2;1481
Frederiksberg;Nature of the offence, total;2020Q3;1966
Frederiksberg;Nature of the offence, total;2020Q4;1842
Frederiksberg;Nature of the offence, total;2021Q1;1677
Frederiksberg;Nature of the offence, total;2021Q2;1671
Frederiksberg;Nature of the offence, total;2021Q3;1674
Frederiksberg;Nature of the offence, total;2021Q4;1739
Frederiksberg;Nature of the offence, total;2022Q1;1740
Frederiksberg;Nature of the offence, total;2022Q2;1802
Frederiksberg;Nature of the offence, total;2022Q3;1978
Frederiksberg;Nature of the offence, total;2022Q4;2278
Frederiksberg;Nature of the offence, total;2023Q1;1901
Frederiksberg;Nature of the offence, total;2023Q2;1960
Frederiksberg;Nature of the offence, total;2023Q3;1862
Frederiksberg;Nature of the offence, total;2023Q4;1959
Frederiksberg;Nature of the offence, total;2024Q1;1774
Frederiksberg;Nature of the offence, total;2024Q2;2267
Frederiksberg;Nature of the offence, total;2024Q3;2137
Frederiksberg;Nature of the offence, total;2024Q4;2079
Frederiksberg;Nature of the offence, total;2025Q1;2018
Frederiksberg;Nature of the offence, total;2025Q2;2132
Frederiksberg;Nature of the offence, total;2025Q3;1838
Frederiksberg;Nature of the offence, total;2025Q4;1885
Dragør;Nature of the offence, total;2007Q1;184
Dragør;Nature of the offence, total;2007Q2;183
Dragør;Nature of the offence, total;2007Q3;127
Dragør;Nature of the offence, total;2007Q4;177
Dragør;Nature of the offence, total;2008Q1;152
Dragør;Nature of the offence, total;2008Q2;175
Dragør;Nature of the offence, total;2008Q3;167
Dragør;Nature of the offence, total;2008Q4;194
Dragør;Nature of the offence, total;2009Q1;124
Dragør;Nature of the offence, total;2009Q2;182
Dragør;Nature of the offence, total;2009Q3;168
Dragør;Nature of the offence, total;2009Q4;193
Dragør;Nature of the offence, total;2010Q1;149
Dragør;Nature of the offence, total;2010Q2;186
Dragør;Nature of the offence, total;2010Q3;196
Dragør;Nature of the offence, total;2010Q4;156
Dragør;Nature of the offence, total;2011Q1;150
Dragør;Nature of the offence, total;2011Q2;164
Dragør;Nature of the offence, total;2011Q3;145
Dragør;Nature of the offence, total;2011Q4;192
Dragør;Nature of the offence, total;2012Q1;189
Dragør;Nature of the offence, total;2012Q2;178
Dragør;Nature of the offence, total;2012Q3;175
Dragør;Nature of the offence, total;2012Q4;200
Dragør;Nature of the offence, total;2013Q1;156
Dragør;Nature of the offence, total;2013Q2;172
Dragør;Nature of the offence, total;2013Q3;149
Dragør;Nature of the offence, total;2013Q4;143
Dragør;Nature of the offence, total;2014Q1;98
Dragør;Nature of the offence, total;2014Q2;132
Dragør;Nature of the offence, total;2014Q3;122
Dragør;Nature of the offence, total;2014Q4;146
Dragør;Nature of the offence, total;2015Q1;139
Dragør;Nature of the offence, total;2015Q2;153
Dragør;Nature of the offence, total;2015Q3;127
Dragør;Nature of the offence, total;2015Q4;172
Dragør;Nature of the offence, total;2016Q1;133
Dragør;Nature of the offence, total;2016Q2;178
Dragør;Nature of the offence, total;2016Q3;131
Dragør;Nature of the offence, total;2016Q4;147
Dragør;Nature of the offence, total;2017Q1;139
Dragør;Nature of the offence, total;2017Q2;154
Dragør;Nature of the offence, total;2017Q3;144
Dragør;Nature of the offence, total;2017Q4;191
Dragør;Nature of the offence, total;2018Q1;124
Dragør;Nature of the offence, total;2018Q2;126
Dragør;Nature of the offence, total;2018Q3;117
Dragør;Nature of the offence, total;2018Q4;142
Dragør;Nature of the offence, total;2019Q1;158
Dragør;Nature of the offence, total;2019Q2;153
Dragør;Nature of the offence, total;2019Q3;159
Dragør;Nature of the offence, total;2019Q4;190
Dragør;Nature of the offence, total;2020Q1;129
Dragør;Nature of the offence, total;2020Q2;143
Dragør;Nature of the offence, total;2020Q3;147
Dragør;Nature of the offence, total;2020Q4;169
Dragør;Nature of the offence, total;2021Q1;127
Dragør;Nature of the offence, total;2021Q2;114
Dragør;Nature of the offence, total;2021Q3;125
Dragør;Nature of the offence, total;2021Q4;142
Dragør;Nature of the offence, total;2022Q1;116
Dragør;Nature of the offence, total;2022Q2;117
Dragør;Nature of the offence, total;2022Q3;139
Dragør;Nature of the offence, total;2022Q4;124
Dragør;Nature of the offence, total;2023Q1;151
Dragør;Nature of the offence, total;2023Q2;160
Dragør;Nature of the offence, total;2023Q3;140
Dragør;Nature of the offence, total;2023Q4;116
Dragør;Nature of the offence, total;2024Q1;101
Dragør;Nature of the offence, total;2024Q2;188
Dragør;Nature of the offence, total;2024Q3;122
Dragør;Nature of the offence, total;2024Q4;149
Dragør;Nature of the offence, total;2025Q1;138
Dragør;Nature of the offence, total;2025Q2;168
Dragør;Nature of the offence, total;2025Q3;129
Dragør;Nature of the offence, total;2025Q4;115
Tårnby;Nature of the offence, total;2007Q1;1241
Tårnby;Nature of the offence, total;2007Q2;1388
Tårnby;Nature of the offence, total;2007Q3;1371
Tårnby;Nature of the offence, total;2007Q4;1446
Tårnby;Nature of the offence, total;2008Q1;1300
Tårnby;Nature of the offence, total;2008Q2;1500
Tårnby;Nature of the offence, total;2008Q3;1604
Tårnby;Nature of the offence, total;2008Q4;1543
Tårnby;Nature of the offence, total;2009Q1;1421
Tårnby;Nature of the offence, total;2009Q2;1592
Tårnby;Nature of the offence, total;2009Q3;1759
Tårnby;Nature of the offence, total;2009Q4;1624
Tårnby;Nature of the offence, total;2010Q1;1599
Tårnby;Nature of the offence, total;2010Q2;1499
Tårnby;Nature of the offence, total;2010Q3;1803
Tårnby;Nature of the offence, total;2010Q4;1538
Tårnby;Nature of the offence, total;2011Q1;1685
Tårnby;Nature of the offence, total;2011Q2;1457
Tårnby;Nature of the offence, total;2011Q3;1459
Tårnby;Nature of the offence, total;2011Q4;1823
Tårnby;Nature of the offence, total;2012Q1;1744
Tårnby;Nature of the offence, total;2012Q2;1680
Tårnby;Nature of the offence, total;2012Q3;1797
Tårnby;Nature of the offence, total;2012Q4;1770
Tårnby;Nature of the offence, total;2013Q1;1611
Tårnby;Nature of the offence, total;2013Q2;1729
Tårnby;Nature of the offence, total;2013Q3;1703
Tårnby;Nature of the offence, total;2013Q4;2135
Tårnby;Nature of the offence, total;2014Q1;1801
Tårnby;Nature of the offence, total;2014Q2;1656
Tårnby;Nature of the offence, total;2014Q3;1829
Tårnby;Nature of the offence, total;2014Q4;1705
Tårnby;Nature of the offence, total;2015Q1;1572
Tårnby;Nature of the offence, total;2015Q2;1434
Tårnby;Nature of the offence, total;2015Q3;2475
Tårnby;Nature of the offence, total;2015Q4;2493
Tårnby;Nature of the offence, total;2016Q1;1943
Tårnby;Nature of the offence, total;2016Q2;1985
Tårnby;Nature of the offence, total;2016Q3;2246
Tårnby;Nature of the offence, total;2016Q4;2273
Tårnby;Nature of the offence, total;2017Q1;1982
Tårnby;Nature of the offence, total;2017Q2;2084
Tårnby;Nature of the offence, total;2017Q3;2203
Tårnby;Nature of the offence, total;2017Q4;2081
Tårnby;Nature of the offence, total;2018Q1;1768
Tårnby;Nature of the offence, total;2018Q2;1962
Tårnby;Nature of the offence, total;2018Q3;2037
Tårnby;Nature of the offence, total;2018Q4;2081
Tårnby;Nature of the offence, total;2019Q1;1811
Tårnby;Nature of the offence, total;2019Q2;1705
Tårnby;Nature of the offence, total;2019Q3;1963
Tårnby;Nature of the offence, total;2019Q4;1895
Tårnby;Nature of the offence, total;2020Q1;1708
Tårnby;Nature of the offence, total;2020Q2;931
Tårnby;Nature of the offence, total;2020Q3;1075
Tårnby;Nature of the offence, total;2020Q4;942
Tårnby;Nature of the offence, total;2021Q1;878
Tårnby;Nature of the offence, total;2021Q2;904
Tårnby;Nature of the offence, total;2021Q3;1211
Tårnby;Nature of the offence, total;2021Q4;1167
Tårnby;Nature of the offence, total;2022Q1;1309
Tårnby;Nature of the offence, total;2022Q2;1538
Tårnby;Nature of the offence, total;2022Q3;1515
Tårnby;Nature of the offence, total;2022Q4;1397
Tårnby;Nature of the offence, total;2023Q1;1528
Tårnby;Nature of the offence, total;2023Q2;1692
Tårnby;Nature of the offence, total;2023Q3;1839
Tårnby;Nature of the offence, total;2023Q4;1471
Tårnby;Nature of the offence, total;2024Q1;1573
Tårnby;Nature of the offence, total;2024Q2;1720
Tårnby;Nature of the offence, total;2024Q3;1840
Tårnby;Nature of the offence, total;2024Q4;1814
Tårnby;Nature of the offence, total;2025Q1;1612
Tårnby;Nature of the offence, total;2025Q2;1436
Tårnby;Nature of the offence, total;2025Q3;1636
Tårnby;Nature of the offence, total;2025Q4;1597
Albertslund;Nature of the offence, total;2007Q1;609
Albertslund;Nature of the offence, total;2007Q2;794
Albertslund;Nature of the offence, total;2007Q3;744
Albertslund;Nature of the offence, total;2007Q4;756
Albertslund;Nature of the offence, total;2008Q1;850
Albertslund;Nature of the offence, total;2008Q2;829
Albertslund;Nature of the offence, total;2008Q3;765
Albertslund;Nature of the offence, total;2008Q4;895
Albertslund;Nature of the offence, total;2009Q1;753
Albertslund;Nature of the offence, total;2009Q2;800
Albertslund;Nature of the offence, total;2009Q3;886
Albertslund;Nature of the offence, total;2009Q4;955
Albertslund;Nature of the offence, total;2010Q1;747
Albertslund;Nature of the offence, total;2010Q2;843
Albertslund;Nature of the offence, total;2010Q3;867
Albertslund;Nature of the offence, total;2010Q4;784
Albertslund;Nature of the offence, total;2011Q1;605
Albertslund;Nature of the offence, total;2011Q2;748
Albertslund;Nature of the offence, total;2011Q3;683
Albertslund;Nature of the offence, total;2011Q4;818
Albertslund;Nature of the offence, total;2012Q1;697
Albertslund;Nature of the offence, total;2012Q2;711
Albertslund;Nature of the offence, total;2012Q3;706
Albertslund;Nature of the offence, total;2012Q4;736
Albertslund;Nature of the offence, total;2013Q1;666
