BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
Langeland;Total;Total;Age, total;Total;2022;7747
Middelfart;Total;Total;Age, total;Total;2008;25837
Middelfart;Total;Total;Age, total;Total;2011;25775
Middelfart;Total;Total;Age, total;Total;2015;25902
Middelfart;Total;Total;Age, total;Total;2019;25939
Middelfart;Total;Total;Age, total;Total;2022;26536
Nordfyns;Total;Total;Age, total;Total;2008;20565
Nordfyns;Total;Total;Age, total;Total;2011;20437
Nordfyns;Total;Total;Age, total;Total;2015;20132
Nordfyns;Total;Total;Age, total;Total;2019;20024
Nordfyns;Total;Total;Age, total;Total;2022;19985
Nyborg;Total;Total;Age, total;Total;2008;21834
Nyborg;Total;Total;Age, total;Total;2011;21742
Nyborg;Total;Total;Age, total;Total;2015;21627
Nyborg;Total;Total;Age, total;Total;2019;21268
Nyborg;Total;Total;Age, total;Total;2022;21361
Odense;Total;Total;Age, total;Total;2008;135825
Odense;Total;Total;Age, total;Total;2011;139092
Odense;Total;Total;Age, total;Total;2015;144427
Odense;Total;Total;Age, total;Total;2019;148005
Odense;Total;Total;Age, total;Total;2022;149463
Svendborg;Total;Total;Age, total;Total;2008;41786
Svendborg;Total;Total;Age, total;Total;2011;41127
Svendborg;Total;Total;Age, total;Total;2015;40271
Svendborg;Total;Total;Age, total;Total;2019;39420
Svendborg;Total;Total;Age, total;Total;2022;39657
Ærø;Total;Total;Age, total;Total;2008;4520
Ærø;Total;Total;Age, total;Total;2011;4480
Ærø;Total;Total;Age, total;Total;2015;4097
Ærø;Total;Total;Age, total;Total;2019;3725
Ærø;Total;Total;Age, total;Total;2022;3689
Billund;Total;Total;Age, total;Total;2008;18032
Billund;Total;Total;Age, total;Total;2011;18125
Billund;Total;Total;Age, total;Total;2015;18147
Billund;Total;Total;Age, total;Total;2019;17906
Billund;Total;Total;Age, total;Total;2022;18118
Esbjerg;Total;Total;Age, total;Total;2008;81972
Esbjerg;Total;Total;Age, total;Total;2011;82583
Esbjerg;Total;Total;Age, total;Total;2015;81662
Esbjerg;Total;Total;Age, total;Total;2019;79616
Esbjerg;Total;Total;Age, total;Total;2022;78853
Fanø;Total;Total;Age, total;Total;2008;2264
Fanø;Total;Total;Age, total;Total;2011;2275
Fanø;Total;Total;Age, total;Total;2015;2179
Fanø;Total;Total;Age, total;Total;2019;2155
Fanø;Total;Total;Age, total;Total;2022;2016
Fredericia;Total;Total;Age, total;Total;2008;34879
Fredericia;Total;Total;Age, total;Total;2011;35266
Fredericia;Total;Total;Age, total;Total;2015;34992
Fredericia;Total;Total;Age, total;Total;2019;35022
Fredericia;Total;Total;Age, total;Total;2022;35575
Haderslev;Total;Total;Age, total;Total;2008;39311
Haderslev;Total;Total;Age, total;Total;2011;39055
Haderslev;Total;Total;Age, total;Total;2015;38568
Haderslev;Total;Total;Age, total;Total;2019;37604
Haderslev;Total;Total;Age, total;Total;2022;37224
Kolding;Total;Total;Age, total;Total;2008;62409
Kolding;Total;Total;Age, total;Total;2011;62963
Kolding;Total;Total;Age, total;Total;2015;63982
Kolding;Total;Total;Age, total;Total;2019;64256
Kolding;Total;Total;Age, total;Total;2022;64784
Sønderborg;Total;Total;Age, total;Total;2008;52703
Sønderborg;Total;Total;Age, total;Total;2011;52244
Sønderborg;Total;Total;Age, total;Total;2015;50400
Sønderborg;Total;Total;Age, total;Total;2019;49285
Sønderborg;Total;Total;Age, total;Total;2022;49077
Tønder;Total;Total;Age, total;Total;2008;27824
Tønder;Total;Total;Age, total;Total;2011;27164
Tønder;Total;Total;Age, total;Total;2015;26063
Tønder;Total;Total;Age, total;Total;2019;25006
Tønder;Total;Total;Age, total;Total;2022;24388
Varde;Total;Total;Age, total;Total;2008;34428
Varde;Total;Total;Age, total;Total;2011;34387
Varde;Total;Total;Age, total;Total;2015;34419
Varde;Total;Total;Age, total;Total;2019;33451
Varde;Total;Total;Age, total;Total;2022;33170
Vejen;Total;Total;Age, total;Total;2008;29112
Vejen;Total;Total;Age, total;Total;2011;29090
Vejen;Total;Total;Age, total;Total;2015;29119
Vejen;Total;Total;Age, total;Total;2019;28780
Vejen;Total;Total;Age, total;Total;2022;28607
Vejle;Total;Total;Age, total;Total;2008;73522
Vejle;Total;Total;Age, total;Total;2011;75172
Vejle;Total;Total;Age, total;Total;2015;77270
Vejle;Total;Total;Age, total;Total;2019;79073
Vejle;Total;Total;Age, total;Total;2022;82322
Aabenraa;Total;Total;Age, total;Total;2008;42218
Aabenraa;Total;Total;Age, total;Total;2011;41590
Aabenraa;Total;Total;Age, total;Total;2015;40477
Aabenraa;Total;Total;Age, total;Total;2019;39525
Aabenraa;Total;Total;Age, total;Total;2022;39155
Region Midtjylland;Total;Total;Age, total;Total;2008;881498
Region Midtjylland;Total;Total;Age, total;Total;2011;898255
Region Midtjylland;Total;Total;Age, total;Total;2015;910924
Region Midtjylland;Total;Total;Age, total;Total;2019;921914
Region Midtjylland;Total;Total;Age, total;Total;2022;937498
Favrskov;Total;Total;Age, total;Total;2008;31572
Favrskov;Total;Total;Age, total;Total;2011;32323
Favrskov;Total;Total;Age, total;Total;2015;32383
Favrskov;Total;Total;Age, total;Total;2019;32353
Favrskov;Total;Total;Age, total;Total;2022;32522
Hedensted;Total;Total;Age, total;Total;2008;31376
Hedensted;Total;Total;Age, total;Total;2011;31534
Hedensted;Total;Total;Age, total;Total;2015;31579
Hedensted;Total;Total;Age, total;Total;2019;31571
Hedensted;Total;Total;Age, total;Total;2022;32234
Horsens;Total;Total;Age, total;Total;2008;57315
Horsens;Total;Total;Age, total;Total;2011;59063
Horsens;Total;Total;Age, total;Total;2015;61545
Horsens;Total;Total;Age, total;Total;2019;63165
Horsens;Total;Total;Age, total;Total;2022;66174
Norddjurs;Total;Total;Age, total;Total;2008;26882
Norddjurs;Total;Total;Age, total;Total;2011;26653
Norddjurs;Total;Total;Age, total;Total;2015;26717
Norddjurs;Total;Total;Age, total;Total;2019;25573
Norddjurs;Total;Total;Age, total;Total;2022;24980
Odder;Total;Total;Age, total;Total;2008;14884
Odder;Total;Total;Age, total;Total;2011;15041
Odder;Total;Total;Age, total;Total;2015;15109
Odder;Total;Total;Age, total;Total;2019;15181
Odder;Total;Total;Age, total;Total;2022;15340
Randers;Total;Total;Age, total;Total;2008;66171
Randers;Total;Total;Age, total;Total;2011;67403
Randers;Total;Total;Age, total;Total;2015;68021
Randers;Total;Total;Age, total;Total;2019;67172
Randers;Total;Total;Age, total;Total;2022;68273
Samsø;Total;Total;Age, total;Total;2008;2702
Samsø;Total;Total;Age, total;Total;2011;2599
Samsø;Total;Total;Age, total;Total;2015;2462
Samsø;Total;Total;Age, total;Total;2019;2300
Samsø;Total;Total;Age, total;Total;2022;2357
Silkeborg;Total;Total;Age, total;Total;2008;61128
Silkeborg;Total;Total;Age, total;Total;2011;62188
Silkeborg;Total;Total;Age, total;Total;2015;62476
Silkeborg;Total;Total;Age, total;Total;2019;63676
Silkeborg;Total;Total;Age, total;Total;2022;66881
Skanderborg;Total;Total;Age, total;Total;2008;39066
Skanderborg;Total;Total;Age, total;Total;2011;40081
Skanderborg;Total;Total;Age, total;Total;2015;40517
Skanderborg;Total;Total;Age, total;Total;2019;41547
Skanderborg;Total;Total;Age, total;Total;2022;42514
Syddjurs;Total;Total;Age, total;Total;2008;28627
Syddjurs;Total;Total;Age, total;Total;2011;28973
Syddjurs;Total;Total;Age, total;Total;2015;28583
Syddjurs;Total;Total;Age, total;Total;2019;28369
Syddjurs;Total;Total;Age, total;Total;2022;28674
Aarhus;Total;Total;Age, total;Total;2008;225032
Aarhus;Total;Total;Age, total;Total;2011;235788
Aarhus;Total;Total;Age, total;Total;2015;247375
Aarhus;Total;Total;Age, total;Total;2019;260373
Aarhus;Total;Total;Age, total;Total;2022;268224
Herning;Total;Total;Age, total;Total;2008;59807
Herning;Total;Total;Age, total;Total;2011;60701
Herning;Total;Total;Age, total;Total;2015;60952
Herning;Total;Total;Age, total;Total;2019;61055
Herning;Total;Total;Age, total;Total;2022;61055
Holstebro;Total;Total;Age, total;Total;2008;40016
Holstebro;Total;Total;Age, total;Total;2011;39798
