VALRES;OMRÅDE;TID;INDHOLD
VALID VOTES;Ikast-Brande;2019;24436
VALID VOTES;Ikast-Brande;2022;24304
VALID VOTES;Lemvig;2007;14181
VALID VOTES;Lemvig;2011;14003
VALID VOTES;Lemvig;2015;13518
VALID VOTES;Lemvig;2019;12818
VALID VOTES;Lemvig;2022;12563
VALID VOTES;Ringkøbing-Skjern;2007;36395
VALID VOTES;Ringkøbing-Skjern;2011;36706
VALID VOTES;Ringkøbing-Skjern;2015;35568
VALID VOTES;Ringkøbing-Skjern;2019;34342
VALID VOTES;Ringkøbing-Skjern;2022;34033
VALID VOTES;Skive;2007;30911
VALID VOTES;Skive;2011;31157
VALID VOTES;Skive;2015;30092
VALID VOTES;Skive;2019;29425
VALID VOTES;Skive;2022;28518
VALID VOTES;Struer;2007;14601
VALID VOTES;Struer;2011;14549
VALID VOTES;Struer;2015;13894
VALID VOTES;Struer;2019;13400
VALID VOTES;Struer;2022;13224
VALID VOTES;Viborg;2007;58431
VALID VOTES;Viborg;2011;59898
VALID VOTES;Viborg;2015;59636
VALID VOTES;Viborg;2019;59236
VALID VOTES;Viborg;2022;59353
VALID VOTES;Brønderslev;2007;22757
VALID VOTES;Brønderslev;2011;23258
VALID VOTES;Brønderslev;2015;22605
VALID VOTES;Brønderslev;2019;22367
VALID VOTES;Brønderslev;2022;22630
VALID VOTES;Frederikshavn;2007;40092
VALID VOTES;Frederikshavn;2011;40403
VALID VOTES;Frederikshavn;2015;38938
VALID VOTES;Frederikshavn;2019;37277
VALID VOTES;Frederikshavn;2022;36498
VALID VOTES;Hjørring;2007;42313
VALID VOTES;Hjørring;2011;42924
VALID VOTES;Hjørring;2015;41601
VALID VOTES;Hjørring;2019;40188
VALID VOTES;Hjørring;2022;39927
VALID VOTES;Jammerbugt;2007;24723
VALID VOTES;Jammerbugt;2011;25126
VALID VOTES;Jammerbugt;2015;24716
VALID VOTES;Jammerbugt;2019;23987
VALID VOTES;Jammerbugt;2022;24307
VALID VOTES;Læsø;2007;1377
VALID VOTES;Læsø;2011;1345
VALID VOTES;Læsø;2015;1247
VALID VOTES;Læsø;2019;1221
VALID VOTES;Læsø;2022;1230
VALID VOTES;Mariagerfjord;2007;26865
VALID VOTES;Mariagerfjord;2011;27003
VALID VOTES;Mariagerfjord;2015;26408
VALID VOTES;Mariagerfjord;2019;25912
VALID VOTES;Mariagerfjord;2022;26136
VALID VOTES;Morsø;2007;14233
VALID VOTES;Morsø;2011;14155
VALID VOTES;Morsø;2015;13578
VALID VOTES;Morsø;2019;13018
VALID VOTES;Morsø;2022;12694
VALID VOTES;Rebild;2007;18136
VALID VOTES;Rebild;2011;18516
VALID VOTES;Rebild;2015;18485
VALID VOTES;Rebild;2019;18619
VALID VOTES;Rebild;2022;19361
