VALRES;OMRÅDE;TID;INDHOLD
Total;Morsø;2007;100.0
Total;Morsø;2011;100.0
Total;Morsø;2015;100.0
Total;Morsø;2019;100.0
Total;Morsø;2022;100.0
Total;Rebild;2007;100.0
Total;Rebild;2011;100.0
Total;Rebild;2015;100.0
Total;Rebild;2019;100.0
Total;Rebild;2022;100.0
Total;Thisted;2007;100.0
Total;Thisted;2011;100.0
Total;Thisted;2015;100.0
Total;Thisted;2019;100.0
Total;Thisted;2022;100.0
Total;Vesthimmerlands;2007;100.0
Total;Vesthimmerlands;2011;100.0
Total;Vesthimmerlands;2015;100.0
Total;Vesthimmerlands;2019;100.0
Total;Vesthimmerlands;2022;100.0
Total;Aalborg;2007;100.0
Total;Aalborg;2011;100.0
Total;Aalborg;2015;100.0
Total;Aalborg;2019;100.0
Total;Aalborg;2022;100.0
A. The Social Democratic Party;All Denmark;2007;25.5
A. The Social Democratic Party;All Denmark;2011;24.8
A. The Social Democratic Party;All Denmark;2015;26.3
A. The Social Democratic Party;All Denmark;2019;25.9
A. The Social Democratic Party;All Denmark;2022;27.5
A. The Social Democratic Party;Copenhagen;2007;24.6
A. The Social Democratic Party;Copenhagen;2011;19.0
A. The Social Democratic Party;Copenhagen;2015;21.9
A. The Social Democratic Party;Copenhagen;2019;16.4
A. The Social Democratic Party;Copenhagen;2022;17.7
A. The Social Democratic Party;Frederiksberg;2007;21.2
A. The Social Democratic Party;Frederiksberg;2011;16.6
A. The Social Democratic Party;Frederiksberg;2015;21.8
A. The Social Democratic Party;Frederiksberg;2019;15.7
A. The Social Democratic Party;Frederiksberg;2022;18.6
A. The Social Democratic Party;Dragør;2007;19.0
A. The Social Democratic Party;Dragør;2011;15.5
A. The Social Democratic Party;Dragør;2015;22.0
A. The Social Democratic Party;Dragør;2019;19.7
A. The Social Democratic Party;Dragør;2022;23.5
A. The Social Democratic Party;Tårnby;2007;29.3
A. The Social Democratic Party;Tårnby;2011;25.0
A. The Social Democratic Party;Tårnby;2015;29.2
A. The Social Democratic Party;Tårnby;2019;31.4
A. The Social Democratic Party;Tårnby;2022;36.5
A. The Social Democratic Party;Albertslund;2007;31.9
A. The Social Democratic Party;Albertslund;2011;30.9
A. The Social Democratic Party;Albertslund;2015;32.2
A. The Social Democratic Party;Albertslund;2019;29.7
A. The Social Democratic Party;Albertslund;2022;33.6
A. The Social Democratic Party;Ballerup;2007;36.2
A. The Social Democratic Party;Ballerup;2011;33.1
A. The Social Democratic Party;Ballerup;2015;35.6
A. The Social Democratic Party;Ballerup;2019;33.2
A. The Social Democratic Party;Ballerup;2022;35.4
A. The Social Democratic Party;Brøndby;2007;33.6
A. The Social Democratic Party;Brøndby;2011;32.7
A. The Social Democratic Party;Brøndby;2015;35.3
A. The Social Democratic Party;Brøndby;2019;34.8
A. The Social Democratic Party;Brøndby;2022;36.4
A. The Social Democratic Party;Gentofte;2007;13.7
A. The Social Democratic Party;Gentofte;2011;11.9
A. The Social Democratic Party;Gentofte;2015;17.4
A. The Social Democratic Party;Gentofte;2019;11.5
A. The Social Democratic Party;Gentofte;2022;12.7
A. The Social Democratic Party;Gladsaxe;2007;27.7
A. The Social Democratic Party;Gladsaxe;2011;26.0
A. The Social Democratic Party;Gladsaxe;2015;29.8
A. The Social Democratic Party;Gladsaxe;2019;25.6
A. The Social Democratic Party;Gladsaxe;2022;27.7
A. The Social Democratic Party;Glostrup;2007;31.3
A. The Social Democratic Party;Glostrup;2011;28.9
A. The Social Democratic Party;Glostrup;2015;31.3
A. The Social Democratic Party;Glostrup;2019;30.1
A. The Social Democratic Party;Glostrup;2022;32.8
A. The Social Democratic Party;Herlev;2007;32.8
A. The Social Democratic Party;Herlev;2011;31.0
A. The Social Democratic Party;Herlev;2015;33.8
A. The Social Democratic Party;Herlev;2019;32.0
A. The Social Democratic Party;Herlev;2022;33.8
A. The Social Democratic Party;Hvidovre;2007;30.8
A. The Social Democratic Party;Hvidovre;2011;28.7
A. The Social Democratic Party;Hvidovre;2015;31.8
A. The Social Democratic Party;Hvidovre;2019;29.4
A. The Social Democratic Party;Hvidovre;2022;32.3
A. The Social Democratic Party;Høje-Taastrup;2007;28.5
A. The Social Democratic Party;Høje-Taastrup;2011;27.6
A. The Social Democratic Party;Høje-Taastrup;2015;29.1
A. The Social Democratic Party;Høje-Taastrup;2019;27.1
A. The Social Democratic Party;Høje-Taastrup;2022;29.4
A. The Social Democratic Party;Ishøj;2007;32.6
A. The Social Democratic Party;Ishøj;2011;31.9
A. The Social Democratic Party;Ishøj;2015;34.1
A. The Social Democratic Party;Ishøj;2019;30.2
