municipality,year,value
Vordingborg,2012,32.2
Ærø,2012,22.9
Aabenraa,2013,22.4
Aalborg,2013,21.8
Aarhus,2013,19.3
Albertslund,2013,12.6
Allerød,2013,18.9
Assens,2013,24.1
Ballerup,2013,13.4
Billund,2013,19.7
Bornholm,2013,20.4
Brøndby,2013,12.2
Brønderslev,2013,24.6
Copenhagen,2013,12.1
Dragør,2013,17.5
Egedal,2013,19.4
Esbjerg,2013,18.0
Faaborg-Midtfyn,2013,22.9
Fanø,2013,18.1
Favrskov,2013,22.8
Faxe,2013,30.0
Fredensborg,2013,21.7
Fredericia,2013,21.4
Frederiksberg,2013,11.7
Frederikshavn,2013,22.0
Frederikssund,2013,22.8
Furesø,2013,15.7
Gentofte,2013,13.4
Gladsaxe,2013,11.6
Glostrup,2013,11.6
Greve,2013,18.8
Gribskov,2013,25.5
Guldborgsund,2013,27.8
Haderslev,2013,24.1
Halsnæs,2013,24.1
Hedensted,2013,21.7
Helsingør,2013,21.4
Herlev,2013,11.4
Herning,2013,19.2
Hillerød,2013,19.5
Hjørring,2013,22.2
Holbæk,2013,26.6
Holstebro,2013,20.1
Horsens,2013,20.1
Hvidovre,2013,12.1
Høje-Taastrup,2013,16.4
Hørsholm,2013,20.2
Ikast-Brande,2013,20.7
Ishøj,2013,14.8
Jammerbugt,2013,25.2
Kalundborg,2013,24.8
Kerteminde,2013,21.2
Kolding,2013,22.2
Køge,2013,24.6
Langeland,2013,25.6
Lejre,2013,28.0
Lemvig,2013,21.0
Lolland,2013,25.1
Lyngby-Taarbæk,2013,13.7
Læsø,2013,23.3
Mariagerfjord,2013,23.3
Middelfart,2013,25.0
Morsø,2013,17.6
Norddjurs,2013,22.9
Nordfyns,2013,23.0
Nyborg,2013,24.6
Næstved,2013,27.2
Odder,2013,21.6
Odense,2013,19.7
Odsherred,2013,26.0
Randers,2013,22.0
Rebild,2013,26.6
Ringkøbing-Skjern,2013,20.0
Ringsted,2013,27.6
Roskilde,2013,21.1
Rudersdal,2013,17.9
Rødovre,2013,10.8
Samsø,2013,17.1
Silkeborg,2013,22.4
Skanderborg,2013,23.3
Skive,2013,20.7
Slagelse,2013,27.7
Solrød,2013,23.2
Sorø,2013,29.8
Stevns,2013,29.8
Struer,2013,19.8
Svendborg,2013,22.0
Syddjurs,2013,27.0
Sønderborg,2013,17.9
Thisted,2013,17.9
Tårnby,2013,12.2
Tønder,2013,22.8
Vallensbæk,2013,14.2
Varde,2013,21.6
Vejen,2013,23.9
Vejle,2013,23.7
Vesthimmerlands,2013,22.5
Viborg,2013,21.5
Vordingborg,2013,31.5
Ærø,2013,21.3
Aabenraa,2014,23.1
Aalborg,2014,22.3
Aarhus,2014,19.7
Albertslund,2014,12.8
Allerød,2014,19.0
Assens,2014,24.3
Ballerup,2014,13.3
Billund,2014,20.0
Bornholm,2014,21.4
Brøndby,2014,12.5
Brønderslev,2014,25.2
Copenhagen,2014,12.4
Dragør,2014,16.7
Egedal,2014,19.6
Esbjerg,2014,18.9
Faaborg-Midtfyn,2014,23.4
Fanø,2014,19.9
Favrskov,2014,23.5
Faxe,2014,30.4
Fredensborg,2014,21.9
Fredericia,2014,22.1
Frederiksberg,2014,11.9
Frederikshavn,2014,23.7
Frederikssund,2014,23.0
Furesø,2014,16.3
Gentofte,2014,13.5
Gladsaxe,2014,11.9
Glostrup,2014,12.1
Greve,2014,18.8
Gribskov,2014,25.8
Guldborgsund,2014,29.5
Haderslev,2014,24.9
Halsnæs,2014,24.5
Hedensted,2014,22.1
Helsingør,2014,21.6
Herlev,2014,11.3
Herning,2014,19.9
Hillerød,2014,20.0
Hjørring,2014,23.7
Holbæk,2014,27.3
Holstebro,2014,20.8
Horsens,2014,20.8
Hvidovre,2014,12.5
Høje-Taastrup,2014,16.5
Hørsholm,2014,20.4
Ikast-Brande,2014,21.0
Ishøj,2014,15.1
Jammerbugt,2014,26.4
Kalundborg,2014,25.3
Kerteminde,2014,21.7
Kolding,2014,23.0
Køge,2014,25.0
Langeland,2014,26.6
Lejre,2014,28.5
Lemvig,2014,21.7
Lolland,2014,27.2
Lyngby-Taarbæk,2014,13.7
Læsø,2014,26.2
Mariagerfjord,2014,24.5
Middelfart,2014,25.8
Morsø,2014,18.1
Norddjurs,2014,23.6
Nordfyns,2014,24.0
Nyborg,2014,24.8
Næstved,2014,28.3
Odder,2014,22.2
Odense,2014,19.9
Odsherred,2014,26.9
Randers,2014,22.6
Rebild,2014,27.0
Ringkøbing-Skjern,2014,20.4
Ringsted,2014,28.2
Roskilde,2014,21.7
Rudersdal,2014,18.1
Rødovre,2014,11.0
Samsø,2014,20.1
Silkeborg,2014,23.3
Skanderborg,2014,23.5
Skive,2014,21.2
Slagelse,2014,28.3
Solrød,2014,23.8
Sorø,2014,30.5
Stevns,2014,30.8
Struer,2014,20.8
Svendborg,2014,23.4
Syddjurs,2014,27.8
Sønderborg,2014,18.9
Thisted,2014,18.6
Tårnby,2014,12.2
Tønder,2014,23.9
Vallensbæk,2014,14.4
Varde,2014,22.3
Vejen,2014,24.1
Vejle,2014,24.3
Vesthimmerlands,2014,23.0
